"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2025","0.583","0.642","0.660","0.583","36.16K","-7.46%"
"05/09/2025","0.630","0.642","0.630","0.580","36.81K","10.90%"
"05/08/2025","0.568","0.630","0.630","0.480","69.36K","-6.87%"
"05/07/2025","0.610","0.580","0.630","0.580","14.34K","0.00%"
"05/06/2025","0.610","0.600","0.630","0.600","2.06K","1.65%"
"05/05/2025","0.600","0.604","0.619","0.600","3.75K","-1.33%"
"05/02/2025","0.608","0.658","0.780","0.587","66.11K","-10.29%"
"05/01/2025","0.678","0.580","0.800","0.558","443.66K","13.95%"
"04/30/2025","0.595","0.720","0.730","0.592","147.81K","-13.14%"
"04/29/2025","0.685","0.670","0.703","0.660","6.31K","2.24%"
"04/28/2025","0.670","0.650","0.700","0.630","51.20K","-3.87%"
"04/25/2025","0.697","0.640","0.790","0.639","87.48K","7.23%"
"04/24/2025","0.650","0.590","0.667","0.590","31.67K","8.33%"
"04/23/2025","0.600","0.478","0.618","0.478","65.89K","9.49%"
"04/22/2025","0.548","0.540","0.549","0.491","17.11K","11.81%"
"04/21/2025","0.490","0.509","0.549","0.490","28.42K","2.12%"
"04/17/2025","0.480","0.485","0.510","0.470","6.51K","2.11%"
"04/16/2025","0.470","0.472","0.485","0.460","5.62K","2.17%"
"04/15/2025","0.460","0.488","0.491","0.443","13.59K","-5.74%"
"04/14/2025","0.488","0.430","0.510","0.420","106.24K","16.69%"
"04/11/2025","0.418","0.460","0.471","0.396","130.85K","-4.95%"
"04/10/2025","0.440","0.420","0.460","0.420","33.15K","4.71%"
"04/09/2025","0.420","0.467","0.467","0.420","24.18K","-8.47%"
"04/08/2025","0.459","0.510","0.525","0.450","93.24K","2.02%"
"04/07/2025","0.450","0.560","0.563","0.419","97.70K","-21.07%"
"04/04/2025","0.570","0.770","0.770","0.564","98.00K","-26.44%"
"04/03/2025","0.775","0.800","0.840","0.770","37.27K","2.01%"
"04/02/2025","0.760","0.850","0.850","0.753","35.42K","-8.47%"
"04/01/2025","0.830","0.860","0.877","0.830","14.24K","-6.21%"
"03/31/2025","0.885","0.907","0.910","0.885","7.44K","-2.75%"
"03/28/2025","0.910","0.948","0.950","0.904","6.47K","-1.83%"
"03/27/2025","0.927","0.950","0.950","0.904","14.08K","-3.44%"
"03/26/2025","0.960","0.960","0.961","0.900","33.18K","-4.95%"
"03/25/2025","1.010","0.955","1.020","0.955","61.16K","0.00%"
"03/24/2025","1.010","0.920","1.100","0.920","300.93K","9.84%"
"03/21/2025","0.919","0.939","0.939","0.914","6.76K","-1.92%"
"03/20/2025","0.938","0.930","0.950","0.921","8.94K","0.46%"
"03/19/2025","0.933","0.920","0.935","0.920","10.30K","-0.59%"
"03/18/2025","0.939","0.960","0.960","0.925","13.90K","0.94%"
"03/17/2025","0.930","0.930","0.930","0.930","5.26K","-1.06%"
"03/14/2025","0.940","0.940","0.940","0.940","6.30K","5.03%"
"03/13/2025","0.895","0.900","0.902","0.895","0.61K","-0.56%"
"03/12/2025","0.900","0.910","0.940","0.900","2.22K","1.10%"
"03/11/2025","0.890","0.939","0.939","0.890","14.86K","0.00%"
"03/10/2025","0.890","0.910","0.960","0.890","82.14K","-7.29%"
"03/07/2025","0.960","0.960","0.960","0.919","8.08K","1.05%"
"03/06/2025","0.950","0.885","0.960","0.885","4.83K","-1.04%"
"03/05/2025","0.960","0.935","0.960","0.935","0.92K","0.00%"
"03/04/2025","0.960","0.960","0.960","0.900","21.47K","0.00%"
"03/03/2025","0.960","0.960","0.980","0.930","41.38K","-4.01%"
"02/28/2025","1.000","0.903","1.000","0.903","12.62K","9.89%"
"02/27/2025","0.910","0.990","0.990","0.910","23.08K","-5.45%"
"02/26/2025","0.962","0.980","0.990","0.946","46.83K","-2.78%"
"02/25/2025","0.990","0.900","0.990","0.880","105.05K","8.20%"
"02/24/2025","0.915","0.930","0.930","0.910","19.85K","-0.33%"
"02/21/2025","0.918","0.942","0.942","0.915","10.87K","-1.29%"
"02/20/2025","0.930","0.935","0.935","0.910","5.81K","-0.60%"
"02/19/2025","0.936","0.930","0.941","0.930","8.09K","1.70%"
"02/18/2025","0.920","0.924","0.941","0.912","12.28K","0.00%"
"02/14/2025","0.920","0.900","0.924","0.900","9.62K","-0.54%"
"02/13/2025","0.925","0.923","0.933","0.915","4.12K","-0.64%"
"02/12/2025","0.931","0.960","0.960","0.920","6.28K","-2.00%"
"02/11/2025","0.950","0.960","0.960","0.920","7.27K","-1.04%"
"02/10/2025","0.960","0.960","0.960","0.916","4.62K","0.00%"
"02/07/2025","0.960","0.989","0.989","0.910","9.08K","-2.04%"
"02/06/2025","0.980","0.980","0.990","0.975","6.78K","0.00%"
"02/05/2025","0.980","0.940","1.000","0.940","11.94K","3.16%"
"02/04/2025","0.950","1.010","1.010","0.950","15.44K","-1.99%"
"02/03/2025","0.969","1.000","1.000","0.907","58.72K","-3.15%"
"01/31/2025","1.001","1.020","1.020","1.000","7.88K","-1.88%"
"01/30/2025","1.020","1.040","1.040","1.010","8.61K","-1.92%"
"01/29/2025","1.040","1.020","1.040","1.010","3.95K","0.97%"
"01/28/2025","1.030","1.050","1.060","1.010","31.65K","-1.90%"
"01/27/2025","1.050","1.090","1.090","1.050","15.59K","-1.87%"
"01/24/2025","1.070","1.110","1.110","1.064","9.56K","0.00%"
"01/23/2025","1.070","1.100","1.110","1.050","16.75K","-2.73%"
"01/22/2025","1.100","1.090","1.110","1.050","57.28K","0.00%"
"01/21/2025","1.100","1.080","1.120","1.050","229.23K","-2.65%"
