"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2025","3,279.03","3,284.08","3,292.20","3,277.55","43.58B","-0.23%"
"04/29/2025","3,286.65","3,281.45","3,294.98","3,277.63","38.90B","-0.05%"
"04/28/2025","3,288.41","3,292.06","3,296.93","3,279.88","41.07B","-0.20%"
"04/25/2025","3,295.06","3,300.39","3,305.26","3,288.75","41.10B","-0.07%"
"04/24/2025","3,297.29","3,295.15","3,313.51","3,286.24","39.28B","0.03%"
"04/23/2025","3,296.36","3,308.15","3,312.19","3,293.06","41.16B","-0.10%"
"04/22/2025","3,299.76","3,289.17","3,311.15","3,288.33","40.32B","0.25%"
"04/21/2025","3,291.43","3,273.14","3,298.64","3,270.01","37.93B","0.45%"
"04/18/2025","3,276.73","3,270.35","3,283.09","3,262.39","35.88B","-0.11%"
"04/17/2025","3,280.34","3,261.72","3,285.92","3,258.15","38.20B","0.13%"
"04/16/2025","3,276.00","3,267.67","3,276.00","3,233.79","42.95B","0.26%"
"04/15/2025","3,267.66","3,260.69","3,268.98","3,246.34","39.67B","0.15%"
"04/14/2025","3,262.81","3,251.98","3,272.72","3,244.73","47.14B","0.76%"
"04/11/2025","3,238.23","3,219.51","3,249.85","3,211.35","47.55B","0.45%"
"04/10/2025","3,223.64","3,227.84","3,239.94","3,201.57","59.12B","1.16%"
"04/09/2025","3,186.81","3,110.01","3,186.81","3,070.08","68.48B","1.31%"
"04/08/2025","3,145.55","3,094.26","3,145.55","3,085.12","66.22B","1.58%"
"04/07/2025","3,096.58","3,193.10","3,217.78","3,040.69","66.22B","-7.34%"
"04/03/2025","3,342.01","3,319.61","3,358.43","3,319.61","40.05B","-0.24%"
"04/02/2025","3,350.13","3,344.17","3,361.13","3,343.12","35.01B","0.05%"
"04/01/2025","3,348.44","3,340.71","3,357.62","3,338.78","42.26B","0.38%"
"03/31/2025","3,335.75","3,343.34","3,361.74","3,317.74","47.26B","-0.46%"
"03/28/2025","3,351.31","3,372.04","3,375.05","3,346.08","41.23B","-0.67%"
"03/27/2025","3,373.75","3,362.71","3,394.03","3,351.17","41.48B","0.15%"
"03/26/2025","3,368.70","3,365.67","3,382.34","3,365.67","42.85B","-0.04%"
"03/25/2025","3,369.98","3,370.00","3,379.99","3,361.05","45.64B","0.00%"
"03/24/2025","3,370.03","3,364.83","3,373.69","3,340.24","51.33B","0.15%"
"03/21/2025","3,364.83","3,401.76","3,414.71","3,355.84","52.09B","-1.29%"
"03/20/2025","3,408.95","3,425.22","3,427.05","3,404.66","45.16B","-0.51%"
"03/19/2025","3,426.43","3,424.17","3,439.05","3,414.59","44.03B","-0.10%"
"03/18/2025","3,429.76","3,434.57","3,437.07","3,423.30","45.49B","0.11%"
"03/17/2025","3,426.13","3,430.81","3,436.35","3,422.46","51.57B","0.19%"
"03/14/2025","3,419.56","3,361.69","3,421.23","3,360.61","58.27B","1.81%"
"03/13/2025","3,358.73","3,371.09","3,377.12","3,341.12","51.90B","-0.39%"
"03/12/2025","3,371.92","3,385.69","3,392.41","3,370.22","50.22B","-0.23%"
"03/11/2025","3,379.83","3,335.44","3,379.83","3,334.83","44.85B","0.41%"
"03/10/2025","3,366.16","3,373.26","3,375.80","3,347.19","45.04B","-0.19%"
"03/07/2025","3,372.55","3,373.18","3,390.94","3,363.93","51.77B","-0.25%"
"03/06/2025","3,381.10","3,353.57","3,387.05","3,348.68","54.00B","1.17%"
"03/05/2025","3,341.96","3,324.70","3,342.71","3,314.15","46.10B","0.53%"
"03/04/2025","3,324.21","3,300.50","3,327.82","3,297.53","43.00B","0.22%"
"03/03/2025","3,316.93","3,328.40","3,349.02","3,304.59","50.24B","-0.12%"
"02/28/2025","3,320.90","3,374.66","3,383.19","3,318.72","56.83B","-1.98%"
"02/27/2025","3,388.06","3,378.45","3,388.78","3,353.57","57.58B","0.23%"
"02/26/2025","3,380.21","3,351.21","3,380.21","3,351.21","55.40B","1.02%"
"02/25/2025","3,346.04","3,345.65","3,369.56","3,337.84","52.76B","-0.80%"
"02/24/2025","3,373.03","3,374.08","3,384.81","3,355.87","59.82B","-0.18%"
