"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2025","23.00","22.64","23.02","22.56","25.00K","1.77%"
"04/30/2025","22.60","22.50","22.56","22.38","38.00K","0.71%"
"04/29/2025","22.44","22.50","22.54","22.44","36.00K","0.00%"
"04/28/2025","22.44","22.34","22.48","22.32","17.00K","0.09%"
"04/25/2025","22.42","22.52","22.70","22.42","140.50K","0.45%"
"04/24/2025","22.32","22.40","22.50","22.22","175.50K","-0.71%"
"04/23/2025","22.48","22.42","22.58","22.30","160.50K","2.37%"
"04/22/2025","21.96","21.80","22.04","21.70","152.50K","0.83%"
"04/17/2025","21.78","21.46","21.82","21.46","34.00K","1.59%"
"04/16/2025","21.44","21.56","21.56","21.28","39.00K","-1.92%"
"04/15/2025","21.86","21.94","21.94","21.72","25.50K","0.18%"
"04/14/2025","21.82","21.80","21.92","21.66","210.50K","2.06%"
"04/11/2025","21.38","21.08","21.52","20.84","613.05K","1.52%"
"04/10/2025","21.06","21.04","21.56","20.90","810.00K","1.74%"
"04/09/2025","20.70","20.10","20.80","19.42","4.38M","1.37%"
"04/08/2025","20.42","20.22","20.74","20.08","3.82M","1.90%"
"04/07/2025","20.04","22.88","22.88","20.04","648.40K","-13.55%"
"04/03/2025","23.18","23.54","23.54","23.08","310.50K","-1.78%"
"04/02/2025","23.60","23.52","23.68","23.36","231.00K","-0.42%"
"04/01/2025","23.70","23.64","23.80","23.56","334.00K","0.68%"
"03/31/2025","23.54","23.64","23.68","23.40","534.00K","-1.01%"
"03/28/2025","23.78","24.10","24.10","23.70","288.50K","-0.92%"
"03/27/2025","24.00","23.96","24.12","23.84","3.00K","0.50%"
"03/26/2025","23.88","23.94","23.96","23.76","51.50K","0.59%"
"03/25/2025","23.74","24.02","24.02","23.70","79.00K","-2.22%"
"03/24/2025","24.28","24.08","24.36","23.98","38.00K","0.83%"
"03/21/2025","24.08","24.48","24.58","24.00","88.50K","-3.22%"
"03/20/2025","24.88","25.08","25.08","24.62","325.00K","-1.11%"
"03/19/2025","25.16","25.04","25.24","25.00","28.00K","0.08%"
"03/18/2025","25.14","25.00","25.14","24.92","81.70K","2.53%"
"03/17/2025","24.52","24.62","24.72","24.44","60.00K","0.57%"
"03/14/2025","24.38","24.08","24.44","24.08","50.82K","2.35%"
"03/13/2025","23.82","23.96","23.96","23.68","497.90K","-0.58%"
"03/12/2025","23.96","24.20","24.26","23.74","825.20K","-0.99%"
"03/11/2025","24.20","23.52","24.20","23.18","49.04K","0.25%"
"03/10/2025","24.14","24.54","24.54","24.04","194.00K","-1.71%"
"03/07/2025","24.56","24.26","25.00","24.26","166.00K","-0.73%"
"03/06/2025","24.74","23.96","24.78","23.96","814.30K","3.43%"
"03/05/2025","23.92","23.70","23.92","23.50","146.50K","2.93%"
"03/04/2025","23.24","22.98","23.30","22.96","107.00K","-0.17%"
"03/03/2025","23.28","23.48","23.66","23.20","73.70K","0.43%"
"02/28/2025","23.18","23.68","23.82","23.12","56.90K","-3.34%"
"02/27/2025","23.98","24.10","24.34","23.80","283.50K","-0.25%"
"02/26/2025","24.04","23.62","24.20","23.62","230.23K","3.09%"
"02/25/2025","23.32","23.10","23.52","23.10","166.90K","-1.52%"
"02/24/2025","23.68","23.54","23.90","23.54","194.80K","-0.34%"
"02/21/2025","23.76","23.34","23.76","23.22","136.71K","3.94%"
"02/20/2025","22.86","23.00","23.06","22.78","314.20K","-1.47%"
"02/19/2025","23.20","22.98","23.24","22.94","87.40K","-0.09%"
"02/18/2025","23.22","22.90","23.40","22.90","106.30K","1.40%"
"02/17/2025","22.90","23.10","23.24","22.70","362.90K","0.17%"
"02/14/2025","22.86","22.42","22.84","22.38","138.50K","3.72%"
"02/13/2025","22.04","22.12","22.82","22.02","193.10K","-0.36%"
"02/12/2025","22.12","21.72","22.14","21.72","119.20K","2.60%"
"02/11/2025","21.56","21.92","21.92","21.56","241.50K","-1.10%"
"02/10/2025","21.80","21.48","21.82","21.48","317.50K","1.77%"
"02/07/2025","21.42","21.08","21.50","21.08","73.70K","1.32%"
"02/06/2025","21.14","20.90","21.18","20.86","30.70K","1.34%"
"02/05/2025","20.86","21.08","21.08","20.74","45.20K","-1.04%"
"02/04/2025","21.08","20.88","21.18","20.64","361.50K","2.83%"
"02/03/2025","20.50","20.54","20.54","20.10","428.00K","-0.29%"
"01/28/2025","20.56","20.62","20.62","20.50","143.50K","0.39%"
"01/27/2025","20.48","20.42","20.58","20.42","21.50K","0.69%"
"01/24/2025","20.34","20.04","20.42","20.04","234.50K","1.90%"
"01/23/2025","19.96","20.22","20.22","19.92","64.00K","-0.40%"
"01/22/2025","20.04","20.16","20.16","20.02","95.50K","-1.76%"
"01/21/2025","20.40","20.26","20.50","20.24","187.00K","0.79%"
"01/20/2025","20.24","20.00","20.40","20.00","1.15M","1.86%"
