"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2025","17.24","17.96","17.96","17.15","","-3.31%"
"05/15/2025","17.83","19.19","19.38","17.77","","-4.24%"
"05/14/2025","18.62","18.10","18.82","18.06","","2.20%"
"05/13/2025","18.22","18.69","18.85","17.65","","-0.92%"
"05/12/2025","18.39","19.84","20.44","18.14","","-16.03%"
"05/09/2025","21.90","22.40","22.82","21.83","","-2.58%"
"05/08/2025","22.48","22.84","23.61","21.88","","-4.54%"
"05/07/2025","23.55","24.56","25.62","23.29","","-4.89%"
"05/06/2025","24.76","23.97","25.11","23.90","","4.74%"
"05/05/2025","23.64","24.25","24.63","22.81","","4.23%"
"05/02/2025","22.68","23.63","24.32","22.34","","-7.80%"
"05/01/2025","24.60","23.94","25.18","23.30","","-0.40%"
"04/30/2025","24.70","24.35","28.17","24.23","","2.19%"
"04/29/2025","24.17","24.76","25.99","23.76","","-3.90%"
"04/28/2025","25.15","25.75","26.93","24.70","","1.25%"
"04/25/2025","24.84","26.22","27.20","24.84","","-6.16%"
"04/24/2025","26.47","28.69","29.66","26.36","","-6.96%"
"04/23/2025","28.45","28.75","30.29","27.11","","-6.93%"
"04/22/2025","30.57","32.61","32.68","30.08","","-9.61%"
"04/21/2025","33.82","32.75","35.75","31.79","","14.06%"
"04/17/2025","29.65","30.79","32.55","29.57","","-9.16%"
"04/16/2025","32.64","33.24","34.96","29.48","","8.37%"
"04/15/2025","30.12","30.01","31.45","28.29","","-2.49%"
"04/14/2025","30.89","34.76","35.17","29.75","","-17.76%"
"04/11/2025","37.56","40.80","46.12","36.85","","-7.76%"
"04/10/2025","40.72","34.44","54.87","34.44","","21.12%"
"04/09/2025","33.62","50.98","57.96","31.90","","-35.75%"
"04/08/2025","52.33","44.04","57.52","36.48","","11.39%"
"04/07/2025","46.98","60.13","60.13","38.58","","3.69%"
"04/04/2025","45.31","30.12","45.61","29.99","","50.93%"
"04/03/2025","30.02","26.38","30.02","24.93","","39.56%"
"04/02/2025","21.51","22.30","23.66","20.68","","-1.19%"
"04/01/2025","21.77","22.06","23.52","21.58","","-2.29%"
"03/31/2025","22.28","24.11","24.80","21.67","","2.91%"
"03/28/2025","21.65","19.08","22.18","18.92","","15.84%"
"03/27/2025","18.69","18.36","19.28","17.95","","1.96%"
"03/26/2025","18.33","17.23","19.07","16.97","","6.88%"
"03/25/2025","17.15","17.58","17.77","17.02","","-1.89%"
"03/24/2025","17.48","19.13","19.14","17.46","","-9.34%"
"03/21/2025","19.28","20.02","21.14","19.15","","-2.63%"
"03/20/2025","19.80","19.52","21.17","19.30","","-0.50%"
"03/19/2025","19.90","21.84","22.10","19.42","","-8.29%"
"03/18/2025","21.70","20.83","22.57","20.41","","5.80%"
"03/17/2025","20.51","22.89","22.95","20.32","","-5.79%"
"03/14/2025","21.77","24.35","24.36","21.48","","-11.72%"
"03/13/2025","24.66","24.92","26.13","23.46","","1.77%"
"03/12/2025","24.23","26.88","26.91","23.89","","-9.99%"
"03/11/2025","26.92","27.94","29.57","26.18","","-3.37%"
"03/10/2025","27.86","24.70","29.56","24.68","","19.21%"
"03/07/2025","23.37","24.85","26.56","23.09","","-6.03%"
"03/06/2025","24.87","22.60","25.92","22.39","","13.41%"
"03/05/2025","21.93","23.03","24.84","21.37","","-6.72%"
"03/04/2025","23.51","22.96","26.35","21.71","","3.20%"
"03/03/2025","22.78","19.83","24.31","19.25","","16.05%"
"02/28/2025","19.63","21.21","22.40","19.05","","-7.10%"
"02/27/2025","21.13","18.25","21.47","17.67","","10.63%"
"02/26/2025","19.10","18.96","20.06","17.83","","-1.70%"
"02/25/2025","19.43","19.09","21.48","18.85","","2.37%"
"02/24/2025","18.98","18.08","20.24","17.31","","4.23%"
"02/21/2025","18.21","15.63","19.03","15.28","","16.28%"
"02/20/2025","15.66","15.61","16.63","15.12","","2.55%"
"02/19/2025","15.27","15.14","15.96","15.05","","-0.52%"
"02/18/2025","15.35","15.57","16.03","15.35","","-0.13%"
"02/17/2025","15.37","15.38","15.57","15.34","","4.06%"
"02/14/2025","14.77","15.08","15.42","14.74","","-2.19%"
"02/13/2025","15.10","15.97","16.33","14.98","","-4.97%"
"02/12/2025","15.89","15.91","17.18","15.64","","-0.81%"
"02/11/2025","16.02","16.13","16.42","15.75","","1.33%"
"02/10/2025","15.81","16.58","16.61","15.70","","-4.41%"
"02/07/2025","16.54","15.38","16.66","14.79","","6.71%"
"02/06/2025","15.50","15.88","16.15","14.99","","-1.71%"
"02/05/2025","15.77","17.54","17.75","15.77","","-8.37%"
"02/04/2025","17.21","18.78","19.11","16.78","","-7.57%"
"02/03/2025","18.62","20.36","20.42","17.66","","13.33%"
"01/31/2025","16.43","15.45","17.09","14.90","","3.72%"
"01/30/2025","15.84","15.93","16.42","15.32","","-4.35%"
"01/29/2025","16.56","16.42","18.08","16.17","","0.91%"
"01/28/2025","16.41","18.29","18.39","16.25","","-8.32%"
"01/27/2025","17.90","18.83","22.51","17.57","","20.54%"
"01/24/2025","14.85","15.02","15.16","14.58","","-1.13%"
"01/23/2025","15.02","15.28","15.39","14.59","","-0.53%"
"01/22/2025","15.10","14.89","15.29","14.59","","0.27%"
"01/21/2025","15.06","16.29","16.29","14.93","","-4.74%"
"01/20/2025","15.81","16.46","16.59","15.80","","-1.00%"
