"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2025","9.29","9.32","9.35","9.26","14.55M","-0.32%"
"05/09/2025","9.32","9.35","9.38","9.31","11.64M","-0.32%"
"05/08/2025","9.35","9.35","9.37","9.30","11.84M","-0.32%"
"05/07/2025","9.38","9.35","9.42","9.32","19.84M","0.64%"
"05/06/2025","9.32","9.29","9.33","9.26","17.15M","0.32%"
"04/30/2025","9.29","9.28","9.37","9.26","13.69M","0.11%"
"04/29/2025","9.28","9.24","9.28","9.21","10.79M","0.43%"
"04/28/2025","9.24","9.37","9.37","9.22","21.83M","-1.49%"
"04/25/2025","9.38","9.41","9.44","9.17","33.40M","-1.57%"
"04/24/2025","9.53","9.45","9.61","9.41","20.96M","0.85%"
"04/23/2025","9.45","9.50","9.54","9.44","15.61M","-0.53%"
"04/22/2025","9.50","9.52","9.58","9.46","18.38M","-0.52%"
"04/21/2025","9.55","9.57","9.59","9.48","13.67M","0.32%"
"04/18/2025","9.52","9.58","9.65","9.47","12.86M","-0.63%"
"04/17/2025","9.58","9.50","9.61","9.42","16.15M","0.63%"
"04/16/2025","9.52","9.54","9.59","9.36","20.41M","-0.21%"
"04/15/2025","9.54","9.64","9.65","9.48","18.63M","-1.04%"
"04/14/2025","9.64","9.62","9.70","9.58","25.19M","-0.21%"
"04/11/2025","9.66","9.81","9.83","9.58","34.98M","-2.33%"
"04/10/2025","9.89","9.75","9.98","9.66","52.60M","0.10%"
